Country    Type    Name    Latitude    Longitude    Elevation    Error
India	Mountain	Kakkir Malai Mountain	??????	??????	1015 m	java.lang.NumberFormatException: For input string: "??????"
Italy	Mountain	Cimon della Pala    46.287224	11.820728	3185 m	java.lang.NumberFormatException: For input string: "3185 m"
Australia	Mountain	Intermediate Hill	-31.5492823773527	159.087181091309	249.7	java.lang.NumberFormatException: For input string: "249."
Australia	Mountain	Black Johnnys Tier	-42.043811	146.954842 1082 m	java.lang.NumberFormatException: For input string: "146.954842 1082 m"
Australia	Mountain	Prospect Mount	-33.8215358	150.915093	138.3	java.lang.NumberFormatException: For input string: "138."
Australia	Mountain	Cobbitty Hill	-33.9833505	150.6961051	186.6	java.lang.NumberFormatException: For input string: "186."
Australia	Mountain	Cecil Hill	-33.8802505	150.8331016	153.1	java.lang.NumberFormatException: For input string: "153."
Australia	Mountain	Little Mountain	-33.9488034	150.6269899	155.5	java.lang.NumberFormatException: For input string: "155."
Australia	Mountain	Smith's Hill	??????	??????	67 m	java.lang.NumberFormatException: For input string: "??????"
Australia	Mountain	Mount Tunbubudla West	-26.963235 152.901278	294 m	java.lang.NumberFormatException: For input string: "-26.963235 152.901278"
Australia    Mountain	Lowes Mount	-33.619265	149.834375	1150 m	java.lang.NumberFormatException: For input string: "1150 m"
Australia	Mountain	Pyungoorup Peak	-34.3585295718886	118.328075408936	1053.5	java.lang.NumberFormatException: For input string: "1053."
Australia	Mountain	Red Hill	-19.7923066393863	120.558128356934	9	java.lang.NumberFormatException: For input string: ""
Australia	Mountain	Mount Lockyer	-22.457122	118.772936 1005 m	java.lang.NumberFormatException: For input string: "118.772936 1005 m"
Australia	Mountain	Mount Barnett	-16.750879	125.939541 540 m	java.lang.NumberFormatException: For input string: "125.939541 540 m"
Australia	Mountain	Post Office Hill	-18.1566176312595	125.578279495239	129.6	java.lang.NumberFormatException: For input string: "129."
Australia	Mountain	Mileeyarra Hill	-24.6073812811295	113.734674453735	4	java.lang.NumberFormatException: For input string: ""
Australia	Mountain	Anchor Hill	-24.8552103789457	113.62283706665	4	java.lang.NumberFormatException: For input string: ""
Australia	Mountain	Mount Nicolay    -27.110020	116.359463	358 m	java.lang.NumberFormatException: For input string: "358 m"
Australia	Mountain	Prominent Hill	-26419	121.482439	546 m	java.lang.IllegalArgumentException: Latitude is Bad
Australia	Mountain	Teedermully Hill	-32.786553	116.612492	390 ??	java.lang.NumberFormatException: For input string: "390?"
Australia	Mountain	Blue Hill    -29.590923	119.574766	402 m	java.lang.NumberFormatException: For input string: "402 m"
Australia	Mountain	Haast Bluff	-23.364871	132010	1118 m	java.lang.IllegalArgumentException: Longitude is bad
Australia	Mountain	McDonald Peak	-28.254342	134.751005	???? m	java.lang.NumberFormatException: For input string: "????"
Australia	Mountain	Windippy Hill	-32.437279160652	133.865404129028	2	java.lang.NumberFormatException: For input string: ""
Australia	Mountain	Coyanarup Peak	-34.385237701741	118.248081207275	1015.5	java.lang.NumberFormatException: For input string: "1015."
Australia	Mountain	Davis Hill    -20.932583	140.615988	385 m	java.lang.NumberFormatException: For input string: "385 m"
Australia	Mountain	Mount Fitz    -22.459264	150.261297	279 m	java.lang.NumberFormatException: For input string: "279 m"
Australia    Mountain	Mount Shanahan	-30.032244	139.500532	364 m	java.lang.NumberFormatException: For input string: "364 m"
Australia	Mountain	Mount Oliphant    -30.293461	139.325953	624 m	java.lang.NumberFormatException: For input string: "624 m"
Australia	Mountain	Belo Hill	-31.9715320447388	137.254343032837	146.6	java.lang.NumberFormatException: For input string: "146."
Australia	Mountain	Barker Hill	-32.3911235151708	136.531219482422	294.4	java.lang.NumberFormatException: For input string: "294."
Australia	Mountain	Mount Miccollo	-32.519460268082	136.599712371826	359.4	java.lang.NumberFormatException: For input string: "359."
Australia	Mountain	Reid Lookout	-32.4684950955172	136.963291168213	240.4	java.lang.NumberFormatException: For input string: "240."
Australia	Mountain	Harris Bluff	-32.705122276393	136.746912002563	395.4	java.lang.NumberFormatException: For input string: "395."
Australia	Mountain	Poutchina Hill	-32.4109073969415	137.136325836182	271.5	java.lang.NumberFormatException: For input string: "271."
Australia	Mountain	Corunna North	-32.6557801282773	137.123622894287	386.7	java.lang.NumberFormatException: For input string: "386."
Australia	Mountain	South Tent Hill	-32.3942399453649	137.524194717407	317.07	java.lang.NumberFormatException: For input string: "317.0"
Australia	Mountain	Simmens Hill	-32.6935657995268	137.564792633057	276.9	java.lang.NumberFormatException: For input string: "276."
Australia	Mountain	Katunga	-32.7742131991328	137.132806777954	297.3	java.lang.NumberFormatException: For input string: "297."
Australia	Mountain	Mount Whyalla	-32.8268797515196	137.439651489258	232.6	java.lang.NumberFormatException: For input string: "232."
Australia	Mountain	Station Hill	-32.8286107248011	137.787780761719	198.3	java.lang.NumberFormatException: For input string: "198."
Australia	Mountain	Crag Point	-32.901857636855	137.780141830444	102.8	java.lang.NumberFormatException: For input string: "102."
Australia	Mountain	Mount Arden	-32.1517078862074	137.978496551514	843.8	java.lang.NumberFormatException: For input string: "843."
Australia	Mountain	Mount Brown	-32.5058530764024	138.00802230835	968.9	java.lang.NumberFormatException: For input string: "968."
Australia	Mountain	Mount Intrepid	-28.741548 142.103176	205 m	java.lang.NumberFormatException: For input string: "-28.741548 142.103176"
Australia	Mountain	Mount Birkhead	-24.445665	146.297207	626 ??	java.lang.NumberFormatException: For input string: "626?"
Australia	Mountain    Mount Walpanara	-27.135077	149.124813	283 m	java.lang.NumberFormatException: For input string: "283 m"
Australia	Mountain	Sulcor Mountain	-30.843731	150.812244	693 ??	java.lang.NumberFormatException: For input string: "693?"
Australia	Mountain	Byong Hills	-33.069750	147657	345 m	java.lang.IllegalArgumentException: Longitude is bad
Australia	Mountain    Red Hill	-32.720360	151.376238	203 m	java.lang.NumberFormatException: For input string: "203 m"
Australia	Mountain	Round Mountain	-28.333471	153.551445	???? m	java.lang.NumberFormatException: For input string: "????"
Australia	Mountain	Mount Lookout	-30.485885 152.931576	236 m	java.lang.NumberFormatException: For input string: "-30.485885 152.931576"
Australia	Mountain	Tinebank Mountain	-31.199441	152521	957 m	java.lang.IllegalArgumentException: Longitude is bad
Australia	Mountain	McDougall Hill	-35.4779359402626	139.361228942871	8	java.lang.NumberFormatException: For input string: ""
Australia	Mountain	Mount Difficult	-37.0097495705803	142.441606521606	805.6	java.lang.NumberFormatException: For input string: "805."
Australia	Mountain	Creighton Hills	-36.7645355703518	145.506448745728	299.9	java.lang.NumberFormatException: For input string: "299."
Australia	Mountain	The Mound	-37.312154	145.020390 458 m	java.lang.NumberFormatException: For input string: "145.020390 458 m"
Australia	Mountain	Mount Kosciuszko	-36.455877	148.263330	???? m	java.lang.NumberFormatException: For input string: "????"
Australia	Mountain	Mount Hump	-37629	146.783867	1238 m	java.lang.IllegalArgumentException: Latitude is Bad
Australia	Mountain	Five Mile Peak	-38.970887	146.384668	560 ??	java.lang.NumberFormatException: For input string: "560?"
Australia	Mountain	Snowy North	-42.861118	146.645765	???? m	java.lang.NumberFormatException: For input string: "????"
Australia	Mountain	Mount Wellington	-42.8959627955431	147.237310409546	1270.53	java.lang.NumberFormatException: For input string: "1270.5"
Australia    Mountain	Mount Dempsey	-15.862361	130.470715	264 m	java.lang.NumberFormatException: For input string: "264 m"
Australia	Mountain	Mount Gosse	-15.542180	131503	251 m	java.lang.IllegalArgumentException: Longitude is bad
